SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3最大八小时滑动平均监测浓度(μg/m³),CO监测浓度(mg/m³),IAQI1,IAQI2,IAQI3,IAQI4,IAQI5,IAQI6,AQI
5,56,36,31,103,0.8,45.0,80.0,14.0,6.0,98.0,30.0,98.0
9,63,67,53,206,1.1,41.0,71.0,92.0,78.0,108.0,22.0,108.0
6,37,31,25,83,0.6,44.0,4.0,19.0,14.0,8.0,35.0,44.0
5,50,23,15,71,0.6,45.0,88.0,27.0,29.0,14.0,35.0,88.0
6,68,33,26,32,0.7,44.0,65.0,17.0,13.0,34.0,32.0,65.0
4,53,41,27,35,0.7,46.0,84.0,9.0,11.0,32.0,32.0,84.0
4,32,32,16,64,0.6,46.0,10.0,18.0,27.0,18.0,35.0,46.0
6,27,35,17,65,0.5,44.0,16.0,15.0,26.0,18.0,38.0,44.0
7,23,36,19,79,0.7,43.0,21.0,14.0,23.0,10.0,32.0,43.0
8,32,44,22,67,0.7,42.0,10.0,6.0,19.0,16.0,32.0,42.0
6,48,22,12,56,0.7,44.0,90.0,28.0,33.0,22.0,32.0,90.0
6,42,34,22,78,0.7,44.0,98.0,16.0,19.0,11.0,32.0,98.0
7,34,39,22,80,0.6,43.0,8.0,11.0,19.0,10.0,35.0,43.0
5,33,28,16,109,0.7,45.0,9.0,22.0,27.0,92.0,32.0,92.0
5,29,25,12,81,0.9,45.0,14.0,25.0,33.0,10.0,28.0,45.0
5,33,30,20,46,0.9,45.0,9.0,20.0,21.0,27.0,28.0,45.0
7,40,46,28,132,0.7,43.0,100.0,4.0,10.0,73.0,32.0,100.0
6,64,51,32,60,0.7,44.0,70.0,100.0,4.0,20.0,32.0,100.0
6,52,27,24,32,0.7,44.0,85.0,23.0,16.0,34.0,32.0,85.0
5,47,20,12,27,0.7,45.0,91.0,30.0,33.0,36.0,32.0,91.0
6,51,24,16,41,0.7,44.0,86.0,26.0,27.0,30.0,32.0,86.0
6,51,26,21,20,0.8,44.0,86.0,24.0,20.0,40.0,30.0,86.0
6,45,28,15,62,0.8,44.0,94.0,22.0,29.0,19.0,30.0,94.0
8,51,56,31,98,0.9,42.0,86.0,97.0,6.0,1.0,28.0,97.0
13,47,61,49,206,0.9,37.0,91.0,94.0,82.0,108.0,28.0,108.0
11,34,43,29,126,0.7,39.0,8.0,7.0,9.0,78.0,32.0,78.0
10,38,45,25,99,0.7,40.0,2.0,5.0,14.0,0.0,32.0,40.0
7,27,34,20,96,0.6,43.0,16.0,16.0,21.0,2.0,35.0,43.0
